,i,smi,qed,logp
0,0,CC1CCCC(Cc2occc2-c2occc2O)C(F)CC1,0.8319431903340262,5.342200000000005
1,1,CC1CCC(F)CC(Cc2occc2-c2occc2O)CC1,0.8319431903340263,5.3422000000000045
2,2,CC1CCCC(C)C(c2occc2-c2occc2CO)CC1,0.8307324246071679,5.351800000000005
3,3,CCC1CCCCCCC(O)C1c1occc1-c1ccco1,0.8293140106742962,5.364500000000006
4,4,CCC1CCCCCC(O)C(c2occc2-c2ccco2)C1,0.8293140106742962,5.364500000000006
5,5,CCC1CCCCCC(O)CC1c1occc1-c1ccco1,0.8293140106742961,5.364500000000007
6,6,OCC1CCCCCCCC(c2occc2-c2ccoc2)C1,0.829134971974619,5.366100000000005
7,7,CC1CCCCCCC1(C)c1occc1-c1occc1CO,0.8386647331972348,5.279900000000006
8,8,CC1(c2occc2-c2occc2O)CCCCCCC1CF,0.8206104781576402,5.442800000000004
9,9,CCc1occ(-c2occc2O)c1C1CC2CCCC2C1C,0.8310309965643455,5.347300000000004
10,10,CCC1C2CCCCC2C1(C)c1occc1-c1occc1O,0.830830554614092,5.349100000000005
11,11,CCC1CCCC2C1CC2(C)c1occc1-c1occc1O,0.830830554614092,5.349100000000005
12,12,CCC1CCC(C)C2CC1(c1occc1-c1occc1O)C2,0.830830554614092,5.349100000000005
13,13,CCC1CCC2C1CCC2(C)c1occc1-c1occc1O,0.830830554614092,5.349100000000005
14,14,CCC1CCC2CC(C1)C2(C)c1occc1-c1occc1O,0.830830554614092,5.349100000000005
15,15,CCC1CC(C)C2CC(c3occc3-c3occc3O)(C1)C2,0.8308305546140919,5.349100000000005
16,16,CCC1CC(C)(c2occc2-c2occc2O)C2CCCC12,0.8308305546140919,5.349100000000005
17,17,Oc1ccoc1Cc1ccoc1C1CCCCCC12CCC2,0.8265877486126246,5.387000000000004
18,18,CC12CCCCCC1CC2Cc1occc1-c1occc1O,0.8257771102297117,5.394200000000005
19,19,CC12CCC(CCCC1Cc1occc1-c1occc1O)C2,0.8257771102297117,5.394200000000005
20,20,CC12CCCCC(CC1Cc1occc1-c1occc1O)C2,0.8257771102297117,5.394200000000005
21,21,CC12CCCC1CCCC2Cc1occc1-c1cocc1O,0.8257771102297117,5.394200000000005
22,22,CC12CCCCC1CCC2Cc1occc1-c1occc1O,0.8257771102297117,5.394200000000005
23,23,CC12CCCCC1(C)C(Cc1occc1-c1occc1O)C2,0.8257771102297117,5.394200000000005
24,24,Oc1ccoc1-c1ccoc1CC1CC2CCCCCC1C2,0.8257771102297117,5.394200000000004
25,25,Oc1cocc1-c1ccoc1CC1CCCC2CCCC2C1,0.8257771102297117,5.394200000000004
26,26,Oc1ccoc1-c1ccoc1CC1CCC2CCCC1CC2,0.8257771102297117,5.394200000000004
27,27,Oc1ccoc1-c1ccoc1CC1CCC2CCCC(C2)C1,0.8257771102297117,5.394200000000004
28,28,CC12CCCC(Cc3occc3-c3occc3O)C1CCC2,0.8257771102297116,5.394200000000005
29,29,CC1(Cc2occc2-c2occc2O)CCC2CCC(C2)C1,0.8257771102297117,5.394200000000004
30,30,Oc1ccoc1-c1ccoc1CC1CCCCC2CCCC21,0.8257771102297117,5.394200000000004
31,31,Oc1ccoc1-c1ccoc1CC1CCCC2CCC(C2)C1,0.8257771102297117,5.394200000000004
32,32,Oc1ccoc1-c1ccoc1CC1CCCC2CCCC2C1,0.8257771102297117,5.394200000000004
33,33,Oc1ccoc1-c1ccoc1CC1CCCCCC2CCC21,0.8257771102297117,5.394200000000004
34,34,CC12CCC(CCC(Cc3occc3-c3occc3O)C1)C2,0.8257771102297116,5.394200000000005
35,35,Oc1ccoc1-c1ccoc1CC1CCC2CCCCCC21,0.8257771102297117,5.394200000000004
36,36,CC12CCCCC1C(Cc1occc1-c1occc1O)CC2,0.8257771102297116,5.394200000000005
37,37,Oc1ccoc1-c1ccoc1CC1CC2CCCC(CC2)C1,0.8257771102297117,5.394200000000004
38,38,Oc1ccoc1-c1ccoc1CC1CCC2CCCC2CC1,0.8257771102297117,5.394200000000004
39,39,CCC1C(C)CC2C(c3occc3-c3occc3O)CCC12,0.822747707803478,5.421000000000005
40,40,CCC1CC(C)C2C(c3occc3-c3occc3O)CCC12,0.822747707803478,5.421000000000005
41,41,CCC1C(C)CC2CC1CC2c1occc1-c1occc1O,0.822747707803478,5.421000000000005
42,42,CC1CCC1C1CCC(c2occc2-c2occc2O)C1C,0.822747707803478,5.421000000000005
43,43,CCC1CCC2CC(c3occc3-c3occc3O)C1C2C,0.822747707803478,5.421000000000005
